@relation C__Users_Haomeng_Desktop_Creativity_of_emoticon_recognition_emoticons

@attribute text string
@attribute @@class@@ {negative,positive,undefined}

@data
'RT @realJobiTeague: I can\'t figure out if I\'m watching a #DonaldTrump stump speech or a new show on #comedycentral.  #CNN #msnbc #Hillary20…',negative
'RT @realJobiTeague: I can\'t figure out if I\'m watching a #DonaldTrump stump speech or a new show on #comedycentral.  #CNN #msnbc #Hillary20…',negative
'RT @ChuckNellis: If @HillaryClinton isn\'t indicted &amp; charged there is no justice.\n#Hillary2016 #BenghaziHearings',negative
'RT @realJobiTeague: I can\'t figure out if I\'m watching a #DonaldTrump stump speech or a new show on #comedycentral.  #CNN #msnbc #Hillary20…',negative
'.@HouseBenghazi is an absolute farce and abuse of taxpayers\' money.  #ImWithHer #EstoyContigo #PorEllaVotoYo #Hillary2016 @HillaryClinton',negative
'RT @OccupyDemocrats: Here\'s a very important reminder. #ImWithHer #FeelTheBern #UniteBlue #votingmatters #Election2016 https://t.co/JMLtAhc…',negative
'RT @Stonewall_77: Dark Reality Of Today\'s \"Utopias\"\nhttps://t.co/6QbYdUbclp\n#Bernie2016 #Hillary2016\n#WeThePeople #tcot\n#WakeUpAmerica http…',negative
'RT @_Holly_Renee: If you\'re voting #Hillary2016... https://t.co/Pi67dmvhjM',negative
'.@HouseBenghazi is a farce and abuse of taxpayers\' money. #ImWithHer #EstoyContigo #PorEllaVotoYo #Hillary2016  https://t.co/SfHFrDdMGY',negative
'@HillaryClinton that\'s cuz @GOP doesn\'t care about dead Americans.  Look at 3000 @ WTC or 300 @ Beirut.  Screw stupid @GOP. #ImWithHer',negative
'RT @LibtardLimbaugh: HOORAY…\nBernie crafts Obama\'s endorsement of #HillaryClinton, his long time friend, DNC uniter, &amp; faithful SOS https:/…',negative
'This is the 1st scandal that I can remember about Bill &amp; #HillaryClinton... #Whitewater 😒\nHappened in the 70\'s -80\'s\nhttps://t.co/34OlKRpAMM',negative
'RT @djred678: @HillaryClinton that\'s cuz @GOP doesn\'t care about dead Americans.  Look at 3000 @ WTC or 300 @ Beirut.  Screw stupid @GOP. #…',negative
'#JoeBiden not stalking #HillaryClinton up to the door of the Congressional hearings - He\'ll wait for her on the way back in the tall grass',negative
'. @djred678, @HillaryClinton is simply pandering 4 \'spic votes. She really doesn\'t care less #SD4Hillary #TeamHillary #OhHillNo #Hillary2016',negative
'Good luck tomorrow @HillaryClinton. We know you don\'t need it. #ImWithHer #Hillary2016 🇺🇸',negative
'@latimes I am sick and tired of listening to this story more than #HillaryClinton\'s emails. Please stop and let this story go away.',negative
'RT @jamesbarnes2: Senate Democrats Call On #GOP To Reimburse Taxpayers For #Benghazi Committee\'s Costs\n\n#Hillary2016 #UniteBlue\n\nhttps://t.…',negative
'RT @Stonewall_77: Dark Reality Of Today\'s \"Utopias\"\nhttps://t.co/6QbYdUbclp\n#Bernie2016 #Hillary2016\n#WeThePeople #tcot\n#WakeUpAmerica http…',negative
'RT @ChuckNellis: If @HillaryClinton isn\'t indicted &amp; charged there is no justice.\n#Hillary2016 #BenghaziHearings',negative
'#Biden Announces \"No\" to Presidential Run in Exchange for a #Hillary2016 VP Spot. \"That Way, I Won\'t have to Move.\" https://t.co/o33kUTk4qu',negative
'RT @powersledge48: @OGDoccat @Wild_Phil which means Obama won\'t prosecute #HillaryClinton .',negative
'RT @rebyoni: .@HouseBenghazi is an absolute farce and abuse of taxpayers\' money.  #ImWithHer #EstoyContigo #PorEllaVotoYo #Hillary2016 @Hil…',negative
'#HillaryClinton scandals would be forgotten &amp; incomes would rise if she\'d just teach us all to trade cattle futures. https://t.co/sSlw9g8xBe',negative
'RT @billclinton: What happens in Vegas...is I watch @HillaryClinton prove she\'s the most qualified candidate for POTUS. #ImWithHer http://t…',negative
'RT @IBDeditorials: #HillaryClinton scandals would be forgotten &amp; incomes would rise if she\'d just teach us all to trade cattle futures. htt…',negative
'RT @_Holly_Renee: If you\'re voting #Hillary2016... https://t.co/Pi67dmvhjM',negative
'RT @OccupyDemocrats: Here\'s a very important reminder. #ImWithHer #FeelTheBern #UniteBlue #votingmatters #Election2016 https://t.co/JMLtAhc…',negative
'@Annie_____Fla That seems a little harsh. I\'d personally have trouble voting for someone who sees all democrats as \'enemies\'. #Hillary2016',negative
'#NewsFlash: #HillaryClinton Was #Anti-#Gay #Marriage, #Voted for #Iraq #War, Threw Bill\'s #Victims Under The #Bus\nhttps://t.co/W3KssP76qr',negative
'RT @RNRMaryland: Delusional @HillaryClinton  thinks she\'s exempt from prosecution think again #HillaryClinton #RedNationRising https://t.co…',negative
'RT @WashTimes: Inside the Ring on how the #Republicans plan to \'torch\' #HillaryClinton in #BenghaziCommittee hearings, #China, more\nhttps:/…',negative
'RT @JSavoly: Hillary\'s hate for the GOP is understandable. How many years &amp; Millions were spent to destroy her &amp; Bill? #MorningJoe #Hillary…',negative
'RT @OccupyDemocrats: Here\'s a very important reminder. #ImWithHer #FeelTheBern #UniteBlue #votingmatters #Election2016 https://t.co/JMLtAhc…',negative
'This is the most news coverage that #JoeBiden has gotten for something he DIDN\'T do. #JoeBiden4President #Hillary2016 #BernieSanders',negative
'RT @JSavoly: Hillary\'s hate for the GOP is understandable. How many years &amp; Millions were spent to destroy her &amp; Bill? #MorningJoe #Hillary…',negative
'RT @CristyCLewis: This is the most news coverage that #JoeBiden has gotten for something he DIDN\'T do. #JoeBiden4President #Hillary2016 #Be…',negative
'Looking forward to HRC\'s testimony tomorrow. #YouGoGirl #ImWithHer',negative
'Thankfully #JoeBiden Dropped out after months of DRAMA. \n#BernieSanders won\'t win. \n#Hillary2016 is our NEXT president #girlpower',negative
'RT @jamesbarnes2: Senate Democrats Call On #GOP To Reimburse Taxpayers For #Benghazi Committee\'s Costs\n\n#Hillary2016 #UniteBlue\n\nhttps://t.…',negative
'RT @LAmaleCA: Thankfully #JoeBiden Dropped out after months of DRAMA. \n#BernieSanders won\'t win. \n#Hillary2016 is our NEXT president #girlp…',negative
'#HillaryClinton won\'t beat the republicans https://t.co/55640MRfSP',negative
'@mrrwraoh @phemale61 @p_staatz @DWStweets @BernieSanders She can\'t look at #HillaryClinton realistically or objectively. Force her to... 1/2',negative
'RT @OccupyDemocrats: Here\'s a very important reminder. #ImWithHer #FeelTheBern #UniteBlue #votingmatters #Election2016 https://t.co/JMLtAhc…',negative
'RT @jamesbarnes2: Senate Democrats Call On #GOP To Reimburse Taxpayers For #Benghazi Committee\'s Costs\n\n#Hillary2016 #UniteBlue\n\nhttps://t.…',negative
'@mrrwraoh @phemale61 @p_staatz #HillaryClinton supporters remind me of fanboi\'s. They put her on a pedestal. It\'s so fucking boring.',negative
'RT @ahmirrashid: They\'re Baaack – Corporate Media Get Marching Orders to Resume Hillary Attacks — #HillaryMen #hillary2016  http://t.co/T7S…',negative
'RT @JonBanquer: @mrrwraoh @phemale61 @p_staatz #HillaryClinton supporters remind me of fanboi\'s. They put her on a pedestal. It\'s so fuckin…',negative
'RT @jamesbarnes2: Senate Democrats Call On #GOP To Reimburse Taxpayers For #Benghazi Committee\'s Costs\n\n#Hillary2016 #UniteBlue\n\nhttps://t.…',negative
'RT @jamesbarnes2: Senate Democrats Call On #GOP To Reimburse Taxpayers For #Benghazi Committee\'s Costs\n\n#Hillary2016 #UniteBlue\n\nhttps://t.…',negative
'RT @ahmirrashid: They\'re Baaack – Corporate Media Get Marching Orders to Resume Hillary Attacks — #HillaryMen #hillary2016  http://t.co/T7S…',negative
'\'Innocence of Muslims\' video - what #Hillary2016 said caused #Benghazi attacks. #tcot #GOP \nhttps://t.co/HQsTckDh7S',negative
'#WhyIWrite \n\n#HillaryClinton: So I can show y\'all later that I didn\'t �? \n\nvia⫸ @Shaughn_A https://t.co/HjjdQby2uw',negative
'I love Joe Biden &amp; I\'m happy he made the decision not to run. Teared up at his speech. Unsure - reaching out to repubs context #hillary2016',negative
'RT @PAMsLOvE: #WhyIWrite \n\n#HillaryClinton: So I can show y\'all later that I didn\'t �? \n\nvia⫸ @Shaughn_A https://t.co/HjjdQby2uw',negative
'RT @PAMsLOvE: #WhyIWrite \n\n#HillaryClinton: So I can show y\'all later that I didn\'t �? \n\nvia⫸ @Shaughn_A https://t.co/HjjdQby2uw',negative
'I\'m all #hillary2016',negative
'#WhyIWrite \n\n#HillaryClinton: So I can show y\'all later that I didn\'t �? \n\nvia⫸ Shaughn_A https://t.co/HgtXC4Wl8I',negative
'RT PAMsLOvE: #WhyIWrite \n\n#HillaryClinton: So I can show y\'all later that I didn\'t �? \n\nvia⫸ Shaughn_A https://t.co/HgtXC4Wl8I',negative
'After Joe Biden\'s announcement to not run Hillary Clinton\'s stats rocketed up today. Maintains her lead over Bernie Sanders. #Hillary2016 🇺🇸',negative
'RT @jamesbarnes2: Senate Democrats Call On #GOP To Reimburse Taxpayers For #Benghazi Committee\'s Costs\n\n#Hillary2016 #UniteBlue\n\nhttps://t.…',negative
'RT @PAMsLOvE: #WhyIWrite \n\n#HillaryClinton: So I can show y\'all later that I didn\'t �? \n\nvia⫸ @Shaughn_A https://t.co/HjjdQby2uw',negative
'RT @PAMsLOvE: #WhyIWrite \n\n#HillaryClinton: So I can show y\'all later that I didn\'t �? \n\nvia⫸ @Shaughn_A https://t.co/HjjdQby2uw',negative
'@MSNBC @realDonaldTrump had best be careful what he wishes for b/c if @HillaryClinton wins the nominatin she\'ll beat him bad. #Hillary2016',negative
'#HillaryClinton declaring #Iranians among her most favored enemies is hardly building on @BarackObama\'s legacy.\n#Biden\n#BernieSanders',negative
'RT PAMsLOvE: #WhyIWrite \n\n#HillaryClinton: So I can show y\'all later that I didn\'t �? \n\nvia⫸ Shaughn_A https://t.co/HgtXC4Wl8I',negative
'RT @JSavoly: Hillary\'s hate for the GOP is understandable. How many years &amp; Millions were spent to destroy her &amp; Bill? #MorningJoe #Hillary…',negative
'A MUST READ - Hillary Clinton\'s style - Photos - 3 of 15 - https://t.co/fu0efTwC3W: https://t.co/FDxpahYHsF via @POLITICO #Hillary2016',negative
'RT @PAMsLOvE: #WhyIWrite \n\n#HillaryClinton: So I can show y\'all later that I didn\'t �? \n\nvia⫸ @Shaughn_A https://t.co/HjjdQby2uw',negative
'Nor is #HillaryClinton battle lines with #GOP consistent with #Biden\'s call for working together. Seems like @WhiteHouse non-support of HRC.',negative
'RT @foxnation: Three Black Politicians Call Out Clinton Camp For Falsely Claiming They\'re Endorsing Hillary https://t.co/sYOGsQ7t79 #Hillar…',negative
'RT @Stonewall_77: Dark Reality Of Today\'s \"Utopias\"\nhttps://t.co/6QbYdUbclp\n#Bernie2016 #Hillary2016\n#WeThePeople #tcot\n#WakeUpAmerica http…',negative
'RT @ahoving: .@HillaryClinton Give \'em hell, Hill  #ImWithHer #BenghaziCommittee',negative
'Sidney Blumenthal -- Hillary Clinton\'s Psychophant and Enabler in Chief - https://t.co/VzRJVteVwT - @RightWingPoli #Hillary2016 #TeamHillary',negative
'RT @_Holly_Renee: If you\'re voting #Hillary2016... https://t.co/Pi67dmvhjM',negative
'RT @_Holly_Renee: If you\'re voting #Hillary2016... https://t.co/Pi67dmvhjM',negative
'RT @_Holly_Renee: If you\'re voting #Hillary2016... https://t.co/Pi67dmvhjM',negative
'RT @myrtamerlino: Senza #Biden la strada di #Hillary è sempre più in discesa...L\'ex First lady è pronta a planare direttamente nello Studio…',negative
'RT @MantonieByrd: Hillary\'s reaction #JoeBiden #HillaryClinton #Biden https://t.co/ZT4mUCyIyU',negative
'Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/NZceMQOjAj',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @jamesbarnes2: Senate Democrats Call On #GOP To Reimburse Taxpayers For #Benghazi Committee\'s Costs\n\n#Hillary2016 #UniteBlue\n\nhttps://t.…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'@PhxKen she\'ll pay. I can tell you she\'s finished. Yesterday\'s news. Never will #HillaryClinton &amp; her 25 personas complete w/accents b POTUS',negative
'@seanhannity perhaps #Obama gave #BidensBigAnnouncement heads up..#HillaryClinton \'won\'t be charged\' nor pursued.. So ur outa luck???',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'@TGowdySC, please don\'t allow #HillaryClinton to kill again. #Benghazi',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'Move over Trey Gowdy, there\'s a new person gunning...  #HillaryClinton https://t.co/pF7Ez5bdW5 https://t.co/D1Or2VEjRR',negative
'RT @BlackIrishI: Why do Democrats always act as if they\'re not the party of Jim Crow? We all know they are. #HillaryClinton #FoxNews http:/…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @PAMsLOvE: #WhyIWrite \n\n#HillaryClinton: So I can show y\'all later that I didn\'t �? \n\nvia⫸ @Shaughn_A https://t.co/HjjdQby2uw',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT PAMsLOvE: #WhyIWrite \n\n#HillaryClinton: So I can show y\'all later that I didn\'t �? \n\nvia⫸ Shaughn_A https://t.co/HgtXC4Wl8I',negative
'@TreyGowdy2016 we shouldn\'t have to pay for your lynch mob of #Hillary2016',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @PAMsLOvE: #WhyIWrite \n\n#HillaryClinton: So I can show y\'all later that I didn\'t �? \n\nvia⫸ @Shaughn_A https://t.co/HjjdQby2uw',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'#hillaryclinton  this \"vote 4 me because I\'m a woman\" is bull. Voting for her is not voting for a woman, it\'s voting 4 a corporation.',negative
'RT @sarahdinahetta: @PhxKen she\'ll pay. I can tell you she\'s finished. Yesterday\'s news. Never will #HillaryClinton &amp; her 25 personas compl…',negative
'RT @BBCJonSopel: Does #JoeBiden saying \"i will not be silent\" translate into \'Hillary, don\'t deny success of #Obama record in campaign\' #Hi…',negative
'RT @_Holly_Renee: If you\'re voting #Hillary2016... https://t.co/Pi67dmvhjM',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @LibtardLimbaugh: HOORAY…\nBernie crafts Obama\'s endorsement of #HillaryClinton, his long time friend, DNC uniter, &amp; faithful SOS https:/…',negative
'Proving once again that Ben Carson has no idea what he\'s doing. #Sanders2016 #Hillary2016 \n\nhttps://t.co/Tq8ij00JWy',negative
'RT @GKMTNtwits: There it is @hardball goes to GOP talking point #HillaryClinton trustworthiness &amp; @howardfineman says @VP can\'t stand Clint…',negative
'Here\'s your guide to nine of the major players...  #HillaryClinton https://t.co/ey1TW56D0y https://t.co/ZXjbr3xsSI',negative
'#HillaryClinton\'s appearance before the #Benghazi...  https://t.co/jomaeFWBau https://t.co/B5GsOC9M1C',negative
'I will lick #thing because you won\'t think about #hillaryclinton, as these catfaces are soothing. #doing',negative
'RT @sarahdinahetta: @PhxKen she\'ll pay. I can tell you she\'s finished. Yesterday\'s news. Never will #HillaryClinton &amp; her 25 personas compl…',negative
'RT @_Holly_Renee: If you\'re voting #Hillary2016... https://t.co/Pi67dmvhjM',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @3sons4me2: #HillaryClinton couldn\'t save the #BENGHAZI4 what makes you think she can save America? Stop #Hillary2016 #Trump2016 http://…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @sarahdinahetta: @PhxKen she\'ll pay. I can tell you she\'s finished. Yesterday\'s news. Never will #HillaryClinton &amp; her 25 personas compl…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @billclinton: What happens in Vegas...is I watch @HillaryClinton prove she\'s the most qualified candidate for POTUS. #ImWithHer http://t…',negative
'#aBetterManThanI... \n@SOFrep\'s @BrandonTWebb resists urge\nto #ThroatPunch #Hillary2016\'s #smirk\'ng \n#BucketBoy\"Dick\"@Socarides on #KellyFile',negative
'RT @Sgarcia81: Chris Christie\'s blood pressure and cholesterol levels are higher than the number of people willing to vote for him. #Trump2…',negative
'RT @laureldavilacpa: #ImWithHer Republicans are fine with Big Government when it comes to interference with a woman\'s right to choose. http…',negative
'RT @psuelz: Waking up and remembering that she gave \'em Hill last night 😎 #ImWithHer  https://t.co/RvUocIJT7V',negative
'RT @_Holly_Renee: If you\'re voting #Hillary2016... https://t.co/Pi67dmvhjM',negative
'RT @HillaryClinton: A highlight of #DemDebate: Hillary stands up against Republican attacks on women\'s rights. #ImWithHer\nhttps://t.co/9OBN…',negative
'RT @janicero: I\'m proud that @POTUS chose @HillaryClinton to serve as Secretary of State. I\'m proud of my President, and #ImWithHer',negative
'RT @Alasscan_: #ImWithHer because she didn\'t need to brag for weeks on talk shows, no, she just went in and did the right thing. http://t.c…',negative
'RT @_Holly_Renee: If you\'re voting #Hillary2016... https://t.co/Pi67dmvhjM',negative
'RT @Mama_Jones2013: I\'m with her #ImWithHer #Hillary2016 #HillaryClinton #DemDebate #DemocraticDebate http://t.co/pBU1KjVsnv',negative
'RT @TrentSeubert: It\'s finally time for the rest of the country to see why @HillaryClinton is my champion. #ImWithHer',negative
'RT @_Holly_Renee: If you\'re voting #Hillary2016... https://t.co/Pi67dmvhjM',negative
'RT @damonbethea1: #ImWithHer because sh\'s not only the best candidate running for president, but @HillaryClinton will fight everyday for al…',negative
'RT @sarahdinahetta: @PhxKen she\'ll pay. I can tell you she\'s finished. Yesterday\'s news. Never will #HillaryClinton &amp; her 25 personas compl…',negative
'RT @BBCJonSopel: #Hillary2016 advocates that US should be \'taking a leadership position\' on #Syria. Is she saying #Obama isn\'t providing th…',negative
'RT @BBCJonSopel: If #Bernie2016 had most to gain, being less well known than  #Hillary2016, think he\'ll be whistling a happy tune back to V…',negative
'RT @Stonewall_77: Dark Reality Of Today\'s \"Utopias\"\nhttps://t.co/6QbYdUbclp\n#Bernie2016 #Hillary2016\n#WeThePeople #tcot\n#WakeUpAmerica http…',negative
'RT @StarJonesEsq: Proud to support @HillaryClinton #equalpay #womenempowerment #womenshealth. Get ready ya\'ll #itstime #Hillary2016.   http…',negative
'Don\'t copy the man #HillaryClinton simply because you\'re afraid you\'ll lose to him.\n#Bernie2016 #votebernie  https://t.co/2HJpSeGT4w',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @RNRMaryland: Delusional @HillaryClinton  thinks she\'s exempt from prosecution think again #HillaryClinton #RedNationRising https://t.co…',negative
'Today @HillaryClinton will speak @ the HSBC here\'s your prep session from @PC_Ulrich #whattoknow #2016 #ImWithHer https://t.co/wcCE41F8CD',negative
'RT @_Holly_Renee: If you\'re voting #Hillary2016... https://t.co/Pi67dmvhjM',negative
'RT @Stonewall_77: Dark Reality Of Today\'s \"Utopias\"\nhttps://t.co/6QbYdUbclp\n#Bernie2016 #Hillary2016\n#WeThePeople #tcot\n#WakeUpAmerica http…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'@MatteoCazzulani @JoeBiden sono d\'accordo, da galantuomo ha evitato di fare lo \"sgambetto\"�?  a #HillaryClinton chissà...',negative
'RT @_Holly_Renee: If you\'re voting #Hillary2016... https://t.co/Pi67dmvhjM',negative
'RT @sarahdinahetta: @PhxKen she\'ll pay. I can tell you she\'s finished. Yesterday\'s news. Never will #HillaryClinton &amp; her 25 personas compl…',negative
'.#JoeBiden If you\'re not going to run with #HillaryClinton spare us the drama.',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @PolToons: Hillary\'s Perspective @Varvel #SheLies #HillaryLiesMatter #Hillary2016 https://t.co/hbgupPr2Q7 https://t.co/Xl9eCLpNz4',negative
'RT @GKMTNtwits: 🔵 Is media that doesn\'t follow Benghazi $ really media? #MSMfail15 #HillaryBias #HillaryClinton @allinwithchris https://t.c…',negative
'RT @GKMTNtwits: 🔵 Is media that doesn\'t follow Benghazi $ really media? #MSMfail15 #HillaryBias #HillaryClinton @allinwithchris https://t.c…',negative
'RT @GKMTNtwits: 🔵 Is media that doesn\'t follow Benghazi $ really media? #MSMfail15 #HillaryBias #HillaryClinton @allinwithchris https://t.c…',negative
'RT @GKMTNtwits: 🔵 Is media that doesn\'t follow Benghazi $ really media? #MSMfail15 #HillaryBias #HillaryClinton @allinwithchris https://t.c…',negative
'Why I support #Bernie over #Hillary2016: She\'s a politician, but not political; he\'s quite the opposite. #FeeltheBern',negative
'Confidential information found in CIA\'s Brennan\'s private mail account:\nhttps://t.co/FZTnUrFxLT #HillaryClinton',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'How #HillaryClinton benefits from #JoeBiden\'s decision - https://t.co/WU6K8uqM6o https://t.co/Lb2KRApkEj https://t.co/RZIBHdSQct',negative
'VicePRESIDENT~#JoeBIDEN\'s decision #NOTtoSEEK #USA Presidency in 2016 helps #HillaryCLINTON~https://t.co/ySrCNG3EfD https://t.co/Dvn58p8YZU',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @rozryan: Can\'t stand #DavidCameron cozying up to #Chinese PM while #HillaryClinton raises China\'s abuse of women #FreeThe20 https://t.c…',negative
'Democrat debate - no one at Hillary\'s level: https://t.co/HPpMmsQjjf #HillaryClinton #Hillary2016 #DemocraticDebate #DemDabate #Demprimaries',negative
'Joe Biden Had a \'Big Annoucement\' That Has Conservative Twitter Laughing #HillaryClinton #SecretaryofState... https://t.co/elDb1LLd09',negative
'@anOpinionista @ralphb47 @AnitaFinlay they will try to show how \"powerful\" they are by TRYING to talk over her. Won\'t work. #ImWithHer',negative
'RT @WashTimes: #HillaryClinton\'s Benghazi testimony, demeanor crucial in bid to earn voters\' trust: https://t.co/nrLmplvGoX',negative
'RT @stylistkavin: @anOpinionista @ralphb47 @AnitaFinlay they will try to show how \"powerful\" they are by TRYING to talk over her. Won\'t wor…',negative
'Endorsement that counts is the American People\'s endorsement #BernieSanders has that #FeelTheBern #HillaryClinton #DonaldTrump',negative
'RT @IBDeditorials: #HillaryClinton scandals would be forgotten &amp; incomes would rise if she\'d just teach us all to trade cattle futures. htt…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @bennydiego: Here\'s to Hillary. May she kick butt at the #BenghaziHearings. \n\n#BenghaziCommittee #Benghazi #HillaryClinton https://t.co/…',negative
'RT @ahoving: .@HillaryClinton Give \'em hell, Hill  #ImWithHer #BenghaziCommittee',negative
'You\'re welcome.\n#hillaryforprison #hillaryclinton #MakeAmericaGreatAgain #HillaryIsScary #NoWonderBillHadAGirlfriend https://t.co/SWWUV7majW',negative
'RT @TheFixIsIn: You\'re welcome.\n#hillaryforprison #hillaryclinton #MakeAmericaGreatAgain #HillaryIsScary #NoWonderBillHadAGirlfriend https:…',negative
'#HillaryClinton What\'s it going to be: incompetence, corruption or a mixture of both? Or just blame everyone else?',negative
'RT @danesforhillary: Today @HillaryClinton will speak @ the HSBC here\'s your prep session from @PC_Ulrich #whattoknow #2016 #ImWithHer http…',negative
'Was bedeutet die Absage von #US-Vizepräsident #JoeBiden für #HillaryClinton? Hier gibt\'s Antworten: @tagesspiegel https://t.co/Jc2mTDkxjt',negative
'Boehner: \'I think Paul Ryan would be a great Speaker\' - https://t.co/da30ZxBPxh - @RightWingPoli #Obama #Hillary2016 #TeamHillary #PaulRyan',negative
'#Conspiracy Hillary\'s Bigge https://t.co/e9T03A4Uks  #hillaryclinton #keynotespeaker #nationalautomobiledealersassociation #secretaryofstate',negative
'GOP, Democrats maneuver for position ahead of Clinton\'s appearance before Benghazi committee #HillaryClinton https://t.co/4m8INTQnmF',negative
'#HillaryClinton: \"History isn\'t finished with #JoeBiden.\"   Translation: Clinton/Biden 2016! https://t.co/XFMQ8wWTKh',positive
'\"Give \'em hell, Hill!\" #ImWithHer #HRC16 Dems release Benghazi transcript on eve of Clinton’s testimony https://t.co/EU0vDqQ24W',positive
'RT @ChuckNellis: Hillary for Leavenworth, 2016! #Hillary2016 https://t.co/QC0gl3Bhme',positive
'RT @ChuckNellis: Hillary for Leavenworth, 2016! #Hillary2016 https://t.co/QC0gl3Bhme',positive
'A glance at this list says soooo much!  go #google for supporting #sanders2016! lol #boa gave to #hillaryclinton https://t.co/5xSAhM9AAk',positive
'\'And he is certainly changing MY world for the better by deciding not to run!\'\n#HillaryClinton #Hillary2016 #Biden  https://t.co/yNLSh7J9fE',positive
